 22.93	7441507	7441507	U	0	unclassified
 77.07	25005832	13207	R	1	root
 77.02	24990668	4043	R1	131567	  cellular organisms
 77.01	24986198	955750	R2	2	    Bacteria
 51.66	16763289	190683	K	3379134	      Pseudomonadati
 48.75	15817986	475	K1	1783270	        FCB group
 48.75	15817511	2886	K2	68336	          Bacteroidota/Chlorobiota group
 48.74	15814625	582903	P	976	            Bacteroidota
 46.94	15231630	6025	C	200643	              Bacteroidia
 46.92	15225605	3514454	O	171549	                Bacteroidales
 23.28	7554429	993918	F	815	                  Bacteroidaceae
 13.34	4326931	2131693	G	816	                    Bacteroides
  2.60	842106	804393	S	820	                      Bacteroides uniformis
  0.12	37713	37713	S1	997890	                        Bacteroides uniformis CL03T12C37
  1.73	561937	561937	S	818	                      Bacteroides thetaiotaomicron
  1.26	409397	409397	S	28111	                      Bacteroides eggerthii
  0.22	72854	68987	S	46506	                      Bacteroides stercoris
  0.01	3867	3867	S1	449673	                        Bacteroides stercoris ATCC 43183
  0.21	68227	67827	S	817	                      Bacteroides fragilis
  0.00	311	311	S1	295405	                        Bacteroides fragilis YCH46
  0.00	89	89	S1	997879	                        Bacteroides fragilis CL03T12C07
  0.20	64474	27922	S	371601	                      Bacteroides xylanisolvens
  0.11	36552	36552	S1	657309	                        Bacteroides xylanisolvens XB1A
  0.15	47472	47472	S	28116	                      Bacteroides ovatus
  0.11	35807	1291	G1	2646097	                      unclassified Bacteroides
  0.04	12370	12370	S	2785531	                        Bacteroides sp. HF-162
  0.04	11845	11845	S	2755405	                        Bacteroides sp. CACC 737
  0.03	9737	9737	S	2528203	                        Bacteroides sp. A1C1
  0.00	336	336	S	2847299	                        Bacteroides sp. DH3716P
  0.00	170	170	S	2763022	                        Bacteroides sp. M10
  0.00	56	56	S	2025659	                        Bacteroides sp. KFT8
  0.00	1	1	S	556259	                        Bacteroides sp. D2
  0.00	1	1	S	2162637	                        Bacteroides sp. PHL 2737
  0.09	30446	30446	S	2650157	                      Bacteroides zhangwenhongii
  0.07	22750	22750	S	674529	                      Bacteroides faecis
  0.06	20915	20326	S	47678	                      Bacteroides caccae
  0.00	589	589	S1	997873	                        Bacteroides caccae CL03T12C61
  0.01	4069	4069	S	246787	                      Bacteroides cellulosilyticus
  0.01	3841	3841	S	291644	                      Bacteroides salyersiae
  0.01	3720	3720	S	338188	                      Bacteroides finegoldii
  0.01	3025	3025	S	2763023	                      Bacteroides hominis
  0.00	1575	1575	S	1796613	                      Bacteroides caecimuris
  0.00	820	820	S	2792859	                      Bacteroides humanifaecis
  0.00	747	747	S	310300	                      Bacteroides pyogenes
  0.00	701	701	S	329854	                      Bacteroides intestinalis
  0.00	262	0	S	290053	                      Bacteroides helcogenes
  0.00	262	262	S1	693979	                        Bacteroides helcogenes P 36-108
  0.00	43	43	S	2715212	                      Bacteroides faecium
  0.00	33	33	S	3117552	                      Bacteroides maternus
  0.00	13	13	S	291645	                      Bacteroides nordii
  0.00	2	2	S	2650158	                      Bacteroides luhongzhouii
  0.00	2	2	S	2763021	                      Bacteroides difficilis
  6.88	2233580	717172	G	909656	                    Phocaeicola
  3.37	1092036	1087087	S	357276	                      Phocaeicola dorei
  0.02	4949	4949	S1	997877	                        Phocaeicola dorei CL03T12C01
  0.66	213519	213519	S	821	                      Phocaeicola vulgatus
  0.49	158704	158704	S	387090	                      Phocaeicola coprophilus
  0.09	28794	0	S	376805	                      Phocaeicola salanitronis
  0.09	28794	28794	S1	667015	                        Phocaeicola salanitronis DSM 18170
  0.07	23355	0	S	310298	                      Phocaeicola coprocola
  0.07	23355	23355	S1	470145	                        Phocaeicola coprocola DSM 17136
  6.49	2104623	21111	F	171552	                  Prevotellaceae
  6.26	2030381	399935	G	577309	                    Paraprevotella
  4.43	1436247	1436247	S	454154	                      Paraprevotella clara
  0.60	194199	0	S	454155	                      Paraprevotella xylaniphila
  0.60	194199	194199	S1	762982	                        Paraprevotella xylaniphila YIT 11841
  0.16	51318	2988	G	2974251	                    Segatella
  0.15	47716	47564	S	165179	                      Segatella copri
  0.00	152	152	S1	537011	                        Segatella copri DSM 18205
  0.00	579	579	S	2518605	                      Segatella hominis
  0.00	35	35	S	77095	                      Segatella bryantii
  0.00	1471	1305	G	838	                    Prevotella
  0.00	77	75	G1	2638335	                      unclassified Prevotella
  0.00	2	2	S	2913621	                        Prevotella sp. E9-3
  0.00	71	71	S	28128	                      Prevotella corporis
  0.00	9	9	S	28125	                      Prevotella bivia
  0.00	3	0	S	28131	                      Prevotella intermedia
  0.00	3	3	S1	1122984	                        Prevotella intermedia ATCC 25611 = DSM 20706
  0.00	3	3	S	1177574	                      Prevotella jejuni
  0.00	2	2	S	28132	                      Prevotella melaninogenica
  0.00	1	1	S	28129	                      Prevotella denticola
  0.00	342	1	G	2974257	                    Hoylesella
  0.00	338	338	S	28127	                      Hoylesella buccalis
  0.00	3	3	S	76123	                      Hoylesella enoeca
  2.87	929780	5	F	171550	                  Rikenellaceae
  2.87	929775	208591	G	239759	                    Alistipes
  1.33	431230	417337	S	328814	                      Alistipes shahii
