100.00	18655680	0	R	1	root
99.94	18644518	0	R1	131567	  cellular organisms
99.91	18638055	0	R2	2	    Bacteria
63.09	11769257	0	K	3379134	      Pseudomonadati
61.62	11494716	0	K1	1783270	        FCB group
61.62	11494716	0	K2	68336	          Bacteroidota/Chlorobiota group
61.62	11494716	0	P	976	            Bacteroidota
61.62	11494716	0	C	200643	              Bacteroidia
61.62	11494716	0	O	171549	                Bacteroidales
28.46	5310323	0	F	171552	                  Prevotellaceae
28.28	5276522	0	G	2974251	                    Segatella
28.27	5273116	5273116	S	165179	                      Segatella copri
0.02	3040	3040	S	2518605	                      Segatella hominis
0.00	365	365	S	305719	                      Segatella baroniae
0.17	32471	0	G	577309	                    Paraprevotella
0.17	31570	31570	S	454154	                      Paraprevotella clara
0.00	900	900	S	454155	                      Paraprevotella xylaniphila
0.01	1305	0	G	838	                    Prevotella
0.00	397	397	S	28129	                      Prevotella denticola
0.00	307	307	S	28131	                      Prevotella intermedia
0.00	406	406	S	28133	                      Prevotella nigrescens
0.00	148	148	S	28125	                      Prevotella bivia
0.00	44	44	S	1177574	                      Prevotella jejuni
0.00	24	0	G	2974257	                    Hoylesella
0.00	24	24	S	28127	                      Hoylesella buccalis
14.85	2770383	0	F	815	                  Bacteroidaceae
12.32	2299015	0	G	816	                    Bacteroides
6.27	1169748	1169748	S	820	                      Bacteroides uniformis
1.78	331755	331755	S	47678	                      Bacteroides caccae
2.39	445879	445879	S	674529	                      Bacteroides faecis
0.51	95229	0	G1	2646097	                      unclassified Bacteroides
0.14	25699	25699	S	2528203	                        Bacteroides sp. A1C1
0.09	16665	16665	S	2755405	                        Bacteroides sp. CACC 737
0.17	31563	31563	S	2847299	                        Bacteroides sp. DH3716P
0.11	19956	19956	S	2785531	                        Bacteroides sp. HF-162
0.00	732	732	S	2763022	                        Bacteroides sp. M10
0.00	374	374	S	556259	                        Bacteroides sp. D2
0.00	196	196	S	2025659	                        Bacteroides sp. KFT8
0.00	41	41	S	3096000	                        Bacteroides sp. CG01
0.21	38599	38599	S	28111	                      Bacteroides eggerthii
0.53	98132	98132	S	371601	                      Bacteroides xylanisolvens
0.16	30004	30004	S	817	                      Bacteroides fragilis
0.03	6296	6296	S	818	                      Bacteroides thetaiotaomicron
0.12	21483	21483	S	28116	                      Bacteroides ovatus
0.03	6003	6003	S	2650157	                      Bacteroides zhangwenhongii
0.02	3108	3108	S	1796613	                      Bacteroides caecimuris
0.03	4871	4871	S	338188	                      Bacteroides finegoldii
0.15	27714	27714	S	2792859	                      Bacteroides humanifaecis
0.01	1558	1558	S	3117552	                      Bacteroides maternus
0.02	3319	3319	S	2763021	                      Bacteroides difficilis
0.01	1897	1897	S	246787	                      Bacteroides cellulosilyticus
0.00	927	927	S	291644	                      Bacteroides salyersiae
0.05	9414	9414	S	2763023	                      Bacteroides hominis
0.00	803	803	S	291645	                      Bacteroides nordii
0.01	948	948	S	46506	                      Bacteroides stercoris
0.00	517	517	S	2715212	                      Bacteroides faecium
0.00	390	390	S	310300	                      Bacteroides pyogenes
0.00	119	119	S	290053	                      Bacteroides helcogenes
0.00	88	88	S	329854	                      Bacteroides intestinalis
0.00	95	95	S	28113	                      Prevotella heparinolytica
0.00	67	67	S	2650158	                      Bacteroides luhongzhouii
0.00	41	41	S	28119	                      Bacteroides zoogleoformans
2.53	471368	0	G	909656	                    Phocaeicola
0.99	183795	183795	S	821	                      Phocaeicola vulgatus
1.45	270975	270975	S	310298	                      Phocaeicola coprocola
0.04	8005	8005	S	387090	                      Phocaeicola coprophilus
0.03	5801	5801	S	357276	                      Phocaeicola dorei
0.01	2789	2789	S	376805	                      Phocaeicola salanitronis
11.87	2213766	0	F	171550	                  Rikenellaceae
11.87	2213766	0	G	239759	                    Alistipes
4.25	793559	793559	S	328814	                      Alistipes shahii
2.52	469755	469755	S	28117	                      Alistipes putredinis
1.70	317074	317074	S	328813	                      Alistipes onderdonkii
1.17	217546	217546	S	1288121	                      Alistipes senegalensis
1.21	224971	224971	S	214856	                      Alistipes finegoldii
0.45	83878	83878	S	2585118	                      Alistipes communis
0.28	52442	52442	S	2585119	                      Alistipes dispar
0.14	25728	25728	S	1470347	                      Alistipes ihumii
