100.00	21627183	0	R	1	root
99.88	21600802	0	R1	131567	  cellular organisms
99.86	21597422	0	R2	2	    Bacteria
76.14	16467770	0	K	3379134	      Pseudomonadati
75.43	16313219	0	K1	1783270	        FCB group
75.43	16313219	0	K2	68336	          Bacteroidota/Chlorobiota group
75.43	16313219	0	P	976	            Bacteroidota
75.43	16313219	0	C	200643	              Bacteroidia
75.43	16313219	0	O	171549	                Bacteroidales
58.77	12709931	0	F	815	                  Bacteroidaceae
35.30	7634130	0	G	816	                    Bacteroides
16.00	3460573	3460573	S	28111	                      Bacteroides eggerthii
9.65	2087933	2087933	S	820	                      Bacteroides uniformis
4.43	958240	958240	S	818	                      Bacteroides thetaiotaomicron
1.70	367355	0	G1	2646097	                      unclassified Bacteroides
0.47	102034	102034	S	2025659	                        Bacteroides sp. KFT8
0.12	26693	26693	S	2763022	                        Bacteroides sp. M10
0.76	163408	163408	S	2847299	                        Bacteroides sp. DH3716P
0.09	20388	20388	S	556259	                        Bacteroides sp. D2
0.12	26879	26879	S	2785531	                        Bacteroides sp. HF-162
0.07	15629	15629	S	2528203	                        Bacteroides sp. A1C1
0.06	11948	11948	S	2755405	                        Bacteroides sp. CACC 737
0.00	41	41	S	3096000	                        Bacteroides sp. CG01
0.00	331	331	S	2709390	                        Bacteroides sp. ZJ-18
0.68	146921	146921	S	817	                      Bacteroides fragilis
0.91	197171	197171	S	371601	                      Bacteroides xylanisolvens
0.92	199747	199747	S	28116	                      Bacteroides ovatus
0.13	28879	28879	S	2650157	                      Bacteroides zhangwenhongii
0.59	127918	127918	S	2763023	                      Bacteroides hominis
0.06	12968	12968	S	338188	                      Bacteroides finegoldii
0.02	4932	4932	S	2650158	                      Bacteroides luhongzhouii
0.02	4534	4534	S	46506	                      Bacteroides stercoris
0.14	29523	29523	S	2792859	                      Bacteroides humanifaecis
0.01	1791	1791	S	674529	                      Bacteroides faecis
0.01	1869	1869	S	47678	                      Bacteroides caccae
0.01	1140	1140	S	246787	                      Bacteroides cellulosilyticus
0.00	726	726	S	1796613	                      Bacteroides caecimuris
0.00	1051	1051	S	2763021	                      Bacteroides difficilis
0.00	226	226	S	291645	                      Bacteroides nordii
0.00	144	144	S	2715212	                      Bacteroides faecium
0.00	193	193	S	3117552	                      Bacteroides maternus
0.00	139	139	S	329854	                      Bacteroides intestinalis
0.00	87	87	S	291644	                      Bacteroides salyersiae
0.00	60	60	S	290053	                      Bacteroides helcogenes
23.47	5075800	0	G	909656	                    Phocaeicola
18.80	4065537	4065537	S	821	                      Phocaeicola vulgatus
4.62	998531	998531	S	357276	                      Phocaeicola dorei
0.02	4681	4681	S	376805	                      Phocaeicola salanitronis
0.03	7050	7050	S	387090	                      Phocaeicola coprophilus
10.05	2173253	0	F	171550	                  Rikenellaceae
10.05	2173253	0	G	239759	                    Alistipes
7.50	1621952	1621952	S	328814	                      Alistipes shahii
1.70	367215	367215	S	2585118	                      Alistipes communis
0.36	76986	76986	S	28117	                      Alistipes putredinis
0.22	46674	46674	S	626932	                      Alistipes indistinctus
0.08	18237	0	G1	538948	                      environmental samples
0.08	18237	18237	S	538949	                        uncultured Alistipes sp.
0.11	24681	24681	S	214856	                      Alistipes finegoldii
0.02	4284	4284	S	2585119	                      Alistipes dispar
0.02	4514	4514	S	328813	                      Alistipes onderdonkii
0.02	3537	3537	S	2364787	                      Alistipes megaguti
0.02	3540	3540	S	1288121	                      Alistipes senegalensis
0.01	1500	0	G1	2608932	                      unclassified Alistipes
0.01	1375	1375	S	3132707	                        Alistipes sp. i18-0019-D1
0.00	125	125	S	2662363	                        Alistipes sp. dk3624
0.00	127	127	S	1470347	                      Alistipes ihumii
4.63	1000312	0	F	2005525	                  Tannerellaceae
4.63	1000290	0	G	375288	                    Parabacteroides
4.56	987047	987047	S	823	                      Parabacteroides distasonis
0.03	7208	7208	S	328812	                      Parabacteroides goldsteinii
0.01	1712	0	G1	2649774	                      unclassified Parabacteroides
0.01	1712	1712	S	2025876	                        Parabacteroides sp. CT06
0.01	1690	1690	S	2685834	                      Parabacteroides chongii
0.01	1336	1336	S	2951805	                      Parabacteroides absconsus
0.01	1216	1216	S	46503	                      Parabacteroides merdae
0.00	79	79	S	387661	                      Parabacteroides johnsonii
0.00	21	0	G	195950	                    Tannerella
0.00	21	21	S	712710	                      Tannerella serpentiformis
0.76	163604	0	F	171552	                  Prevotellaceae
0.69	149612	0	G	2974251	                    Segatella
0.68	147532	147532	S	165179	                      Segatella copri
0.00	926	926	S	2518605	                      Segatella hominis
