 34.25	10901288	10901288	U	0	unclassified
 65.75	20925534	21859	R	1	root
 65.18	20743667	16788	R1	131567	  cellular organisms
 65.12	20725127	890940	R2	2	    Bacteria
 31.55	10040023	140385	K	3379134	      Pseudomonadati
 29.49	9384156	155	K1	1783270	        FCB group
 29.48	9384001	772	K2	68336	          Bacteroidota/Chlorobiota group
 29.48	9383229	246555	P	976	            Bacteroidota
 28.71	9136562	1070	C	200643	              Bacteroidia
 28.70	9135492	1419959	O	171549	                Bacteroidales
 13.17	4191521	115	F	171550	                  Rikenellaceae
 13.17	4191406	517578	G	239759	                    Alistipes
  4.21	1338879	1338879	S	28117	                      Alistipes putredinis
  2.57	819472	785345	S	328814	                      Alistipes shahii
  0.11	34127	34127	S1	717959	                        Alistipes shahii WAL 8301
  2.06	655731	655731	S	2585118	                      Alistipes communis
  1.57	500780	404949	S	214856	                      Alistipes finegoldii
  0.30	95831	95831	S1	679935	                        Alistipes finegoldii DSM 17242
  0.53	168571	109452	S	328813	                      Alistipes onderdonkii
  0.19	59119	59119	S1	2585117	                        Alistipes onderdonkii subsp. vulgaris
  0.34	108154	108154	S	1288121	                      Alistipes senegalensis
  0.15	47226	3	G1	2608932	                      unclassified Alistipes
  0.14	45168	45168	S	2662363	                        Alistipes sp. dk3624
  0.01	2055	2055	S	3132707	                        Alistipes sp. i18-0019-D1
  0.05	14651	14069	S	626932	                      Alistipes indistinctus
  0.00	582	582	S1	742725	                        Alistipes indistinctus YIT 12060
  0.04	13004	13004	S	2585119	                      Alistipes dispar
  0.01	4379	0	G1	538948	                      environmental samples
  0.01	4379	4379	S	538949	                        uncultured Alistipes sp.
  0.01	2377	2377	S	2364787	                      Alistipes megaguti
  0.00	604	0	S	1470347	                      Alistipes ihumii
  0.00	604	604	S1	1211813	                        Alistipes ihumii AP11
  8.04	2557449	189847	F	815	                  Bacteroidaceae
  6.14	1953323	803507	G	816	                    Bacteroides
  1.76	558652	551685	S	820	                      Bacteroides uniformis
  0.02	6967	6967	S1	997890	                        Bacteroides uniformis CL03T12C37
  1.39	440875	440875	S	28111	                      Bacteroides eggerthii
  0.16	52185	52185	S	674529	                      Bacteroides faecis
  0.06	20560	19808	S	47678	                      Bacteroides caccae
  0.00	752	752	S1	997873	                        Bacteroides caccae CL03T12C61
  0.06	17609	7757	S	371601	                      Bacteroides xylanisolvens
  0.03	9852	9852	S1	657309	                        Bacteroides xylanisolvens XB1A
  0.05	16406	13135	S	46506	                      Bacteroides stercoris
  0.01	3271	3271	S1	449673	                        Bacteroides stercoris ATCC 43183
  0.04	12366	12353	S	817	                      Bacteroides fragilis
