100.00	16231298	0	R	1	root
99.94	16221913	0	R1	131567	  cellular organisms
99.88	16211739	0	R2	2	    Bacteria
62.99	10224756	0	K	3379134	      Pseudomonadati
61.14	9923407	0	K1	1783270	        FCB group
61.14	9923407	0	K2	68336	          Bacteroidota/Chlorobiota group
61.14	9923407	0	P	976	            Bacteroidota
61.14	9923407	0	C	200643	              Bacteroidia
61.14	9923407	0	O	171549	                Bacteroidales
24.07	3906071	0	F	171552	                  Prevotellaceae
22.59	3667108	0	G	2974251	                    Segatella
22.30	3618838	3618838	S	165179	                      Segatella copri
0.29	46405	46405	S	2518605	                      Segatella hominis
0.01	928	928	S	77095	                      Segatella bryantii
0.01	936	936	S	305719	                      Segatella baroniae
1.46	237148	0	G	577309	                    Paraprevotella
1.21	195907	195907	S	454154	                      Paraprevotella clara
0.25	41240	41240	S	454155	                      Paraprevotella xylaniphila
0.01	1565	0	G	838	                    Prevotella
0.00	567	567	S	28131	                      Prevotella intermedia
0.00	312	312	S	28128	                      Prevotella corporis
0.00	105	0	G1	2638335	                      unclassified Prevotella
0.00	62	62	S	2913616	                        Prevotella sp. E13-17
0.00	43	43	S	2913621	                        Prevotella sp. E9-3
0.00	127	127	S	28125	                      Prevotella bivia
0.00	131	131	S	28132	                      Prevotella melaninogenica
0.00	187	187	S	28133	                      Prevotella nigrescens
0.00	42	42	S	28137	                      Prevotella veroralis
0.00	52	52	S	1177574	                      Prevotella jejuni
0.00	39	39	S	282402	                      Prevotella multiformis
0.00	192	0	G	2974257	                    Hoylesella
0.00	192	192	S	28127	                      Hoylesella buccalis
0.00	56	0	G	2884814	                    Pseudoprevotella
0.00	56	56	S	2133944	                      Pseudoprevotella muciniphila
23.03	3738501	0	F	171550	                  Rikenellaceae
23.03	3738501	0	G	239759	                    Alistipes
10.64	1727803	1727803	S	328813	                      Alistipes onderdonkii
9.25	1500820	1500820	S	328814	                      Alistipes shahii
0.84	136729	136729	S	2585118	                      Alistipes communis
0.97	156806	156806	S	214856	                      Alistipes finegoldii
