100.00	17888747	0	R	1	root
99.97	17883633	0	R1	131567	  cellular organisms
99.94	17878424	0	R2	2	    Bacteria
70.63	12634970	0	K	3379134	      Pseudomonadati
50.64	9058245	0	K1	1783270	        FCB group
50.64	9058245	0	K2	68336	          Bacteroidota/Chlorobiota group
50.64	9058245	0	P	976	            Bacteroidota
50.63	9057965	0	C	200643	              Bacteroidia
50.63	9057965	0	O	171549	                Bacteroidales
45.71	8176572	0	F	171550	                  Rikenellaceae
45.71	8176572	0	G	239759	                    Alistipes
18.47	3303630	3303630	S	2585118	                      Alistipes communis
13.08	2340304	2340304	S	328813	                      Alistipes onderdonkii
6.40	1144247	1144247	S	28117	                      Alistipes putredinis
3.39	606465	606465	S	328814	                      Alistipes shahii
2.50	447267	447267	S	1288121	                      Alistipes senegalensis
0.54	96117	96117	S	1470347	                      Alistipes ihumii
0.68	121931	121931	S	214856	                      Alistipes finegoldii
0.34	60403	0	G1	2608932	                      unclassified Alistipes
0.32	58087	58087	S	2662363	                        Alistipes sp. dk3624
0.01	2315	2315	S	3132707	                        Alistipes sp. i18-0019-D1
0.27	48349	48349	S	2585119	                      Alistipes dispar
0.02	4465	0	G1	538948	                      environmental samples
0.02	4465	4465	S	538949	                        uncultured Alistipes sp.
0.02	3277	3277	S	2364787	                      Alistipes megaguti
0.00	113	113	S	626932	                      Alistipes indistinctus
4.05	724777	0	F	815	                  Bacteroidaceae
3.71	663210	0	G	816	                    Bacteroides
2.03	362963	362963	S	820	                      Bacteroides uniformis
0.40	72442	72442	S	46506	                      Bacteroides stercoris
0.71	126853	126853	S	371601	                      Bacteroides xylanisolvens
0.11	19000	0	G1	2646097	                      unclassified Bacteroides
0.05	9560	9560	S	2528203	                        Bacteroides sp. A1C1
0.03	5926	5926	S	2847299	                        Bacteroides sp. DH3716P
0.01	2085	2085	S	2785531	                        Bacteroides sp. HF-162
0.01	1022	1022	S	2755405	                        Bacteroides sp. CACC 737
0.00	206	206	S	556259	                        Bacteroides sp. D2
0.00	84	84	S	2763022	                        Bacteroides sp. M10
0.00	114	114	S	2025659	                        Bacteroides sp. KFT8
0.08	13895	13895	S	818	                      Bacteroides thetaiotaomicron
0.05	9771	9771	S	329854	                      Bacteroides intestinalis
0.13	22750	22750	S	28116	                      Bacteroides ovatus
0.03	5309	5309	S	28111	                      Bacteroides eggerthii
0.02	3499	3499	S	291644	                      Bacteroides salyersiae
0.04	6305	6305	S	47678	                      Bacteroides caccae
0.02	3281	3281	S	2650157	                      Bacteroides zhangwenhongii
0.02	3442	3442	S	817	                      Bacteroides fragilis
0.01	1700	1700	S	674529	                      Bacteroides faecis
0.01	1276	1276	S	291645	                      Bacteroides nordii
0.01	1496	1496	S	246787	                      Bacteroides cellulosilyticus
0.03	4852	4852	S	2763023	                      Bacteroides hominis
0.02	3240	3240	S	2792859	                      Bacteroides humanifaecis
0.00	317	317	S	310300	                      Bacteroides pyogenes
0.00	371	371	S	3117552	                      Bacteroides maternus
0.00	229	229	S	1796613	                      Bacteroides caecimuris
0.00	117	117	S	2763021	                      Bacteroides difficilis
0.00	51	51	S	338188	                      Bacteroides finegoldii
0.00	24	24	S	290053	                      Bacteroides helcogenes
0.00	14	14	S	2715212	                      Bacteroides faecium
0.34	61566	0	G	909656	                    Phocaeicola
0.22	38852	38852	S	821	                      Phocaeicola vulgatus
0.11	19084	19084	S	357276	                      Phocaeicola dorei
0.01	1627	1627	S	376805	                      Phocaeicola salanitronis
0.01	1259	1259	S	387090	                      Phocaeicola coprophilus
0.00	742	742	S	310298	                      Phocaeicola coprocola
0.45	80986	0	F	2005525	                  Tannerellaceae
0.45	80986	0	G	375288	                    Parabacteroides
0.18	31625	31625	S	46503	                      Parabacteroides merdae
0.10	17333	0	G1	2649774	                      unclassified Parabacteroides
0.10	17316	17316	S	2025876	                        Parabacteroides sp. CT06
0.00	17	17	S	3415987	                        Parabacteroides sp. ASD2025
0.11	19253	19253	S	823	                      Parabacteroides distasonis
0.06	11377	11377	S	328812	                      Parabacteroides goldsteinii
0.01	1027	1027	S	2951805	                      Parabacteroides absconsus
0.00	316	316	S	387661	                      Parabacteroides johnsonii
0.00	53	53	S	2685834	                      Parabacteroides chongii
0.18	31515	0	F	1853231	                  Odoribacteraceae
0.12	20958	0	G	283168	                    Odoribacter
0.12	20958	20958	S	28118	                      Odoribacter splanchnicus
0.06	10556	0	G	574697	                    Butyricimonas
0.03	5676	5676	S	544645	                      Butyricimonas virosa
0.03	4509	4509	S	1472416	                      Butyricimonas faecihominis
0.00	195	195	S	2093856	                      Butyricimonas faecalis
0.00	175	175	S	1472417	                      Butyricimonas paravirosa
0.17	30547	0	F	171552	                  Prevotellaceae
0.13	23561	0	G	2974251	                    Segatella
0.13	22767	22767	S	165179	                      Segatella copri
0.00	793	793	S	2518605	                      Segatella hominis
0.02	3371	0	G	838	                    Prevotella
