"Sample (SRR)","diet","Shannon","Berger Parker"
"SRR8146972","omnivore",3.20463879242197,0.222956792009029
"SRR8146973","vegan",3.68407964910643,0.0884960324529154
"SRR8146974","vegan",3.00697405582407,0.188730023980671
"SRR8146975","omnivore",3.35889920023418,0.135127622798955
"SRR8146976","omnivore",3.27287136153442,0.282656962020703
"SRR8146977","vegan",3.12125922317793,0.187984203459618
